AREA,PERIMETER,WCOLGEN02_,WCOLGEN021,DPTO,NOMBRE_DPT,MPIO,NOMBRE_MPI,NOMBRE_CAB,CLASEMUN,MPIOS,ZONA,OF_REG,REG_ZONAS,HECTARES,_ID
511927548.863,100370.490131,984,117,19,CAUCA,693,SAN SEBASTIAN,SAN SEBASTIAN,CM,19693,ZONA05,DACLI,DACLIZONA05,51192.755,979
204536488.062,60985.3095198,985,90,41,HUILA,807,TIMANA,TIMANA,CM,41807,ZONA14,DABOG,DABOGZONA14,20453.649,980
275401082.514,69764.6486923,986,94,19,CAUCA,022,ALMAGUER,ALMAGUER,CM,19022,ZONA05,DACLI,DACLIZONA05,27540.108,981
11493453609.1,575533.227025,987,1029,95,GUAVIARE,015,CALAMAR,CALAMAR,CM,95015,ZONA16,DABOG,DABOGZONA16,1149345.361,982
718371320.4809999,122502.832543,988,108,19,CAUCA,450,MERCADERES,MERCADERES,CM,19450,ZONA05,DACLI,DACLIZONA05,71837.132,983
711917935.1799999,148518.736619,989,78,41,HUILA,551,PITALITO,PITALITO,CM,41551,ZONA14,DABOG,DABOGZONA14,71191.79399999999,984
346315984.136,87823.2733587,990,44,52,NARIÑO,540,POLICARPA,POLICARPA,CM,52540,ZONA06,DACLI,DACLIZONA06,34631.598,985
3060286463.57,301356.533257,991,119,19,CAUCA,701,SANTA ROSA,SANTA ROSA,CM,19701,ZONA05,DACLI,DACLIZONA05,306028.646,986
255897390.676,72134.3232157,992,43,52,NARIÑO,256,EL ROSARIO,EL ROSARIO,CM,52256,ZONA06,DACLI,DACLIZONA06,25589.739,987
658008724.266,116780.506035,993,58,41,HUILA,006,ACEVEDO,ACEVEDO,CM,41006,ZONA14,DABOG,DABOGZONA14,65800.872,988
721712143.614,155531.248076,994,824,18,CAQUETA,256,EL PAUJIL,EL PAUJIL,CM,18256,ZONA15,DABOG,DABOGZONA15,72171.21400000001,989
11176333031.9,601502.187604,995,1030,95,GUAVIARE,200,MIRAFLORES,MIRAFLORES,CM,95200,ZONA16,DABOG,DABOGZONA16,1117633.303,990
319823244.581,92815.1410476,996,80,41,HUILA,530,PALESTINA,PALESTINA,CM,41530,ZONA14,DABOG,DABOGZONA14,31982.324,991
892138944.477,206013.467424,997,825,18,CAQUETA,410,LA MONTA¥ITA,LA MONTA¥ITA,CM,18410,ZONA15,DABOG,DABOGZONA15,89213.894,992
220805091.043,61090.4713636,998,45,52,NARIÑO,233,CUMBITARA,CUMBITARA,CM,52233,ZONA06,DACLI,DACLIZONA06,22080.509,993
2423290270.94,241464.059483,999,55,52,NARIÑO,079,BARBACOAS,BARBACOAS,CM,52079,ZONA06,DACLI,DACLIZONA06,242329.027,994
936356236.6109999,155379.461703,1000,820,18,CAQUETA,094,BELEN DE LOS ANDAQUIES,BELEN DE LOS ANDAQUIES,CM,18094,ZONA15,DABOG,DABOGZONA15,93635.624,995
28504270.1189,25568.2006609,1001,1035,19,CAUCA,290,FLORENCIA,FLORENCIA,CM,19290,ZONA05,DACLI,DACLIZONA05,2850.427,996
460440141.864,103832.012183,1002,46,52,NARIÑO,418,LOS ANDES,SOTOMAYOR,CM,52418,ZONA06,DACLI,DACLIZONA06,46044.014,997
88267488.4707,52657.9511457,1003,2,52,NARIÑO,693,SAN PABLO,SAN PABLO,CM,52693,ZONA08,DACLI,DACLIZONA08,8826.749,998
7356448092.55,415609.580074,1004,1012,97,VAUPES,161,CARURU,CARURU,CM,97161,ZONA16,DABOG,DABOGZONA16,735644.809,999
241622978.635,64123.5706851,1005,42,52,NARIÑO,786,TAMINANGO,TAMINANGO,CM,52786,ZONA06,DACLI,DACLIZONA06,24162.298,1000
45127282.2114,29468.0375012,1006,38,52,NARIÑO,203,COLON,GENOVA,CM,52203,ZONA08,DACLI,DACLIZONA08,4512.728,1001
126461557.471,51132.47171,1007,39,52,NARIÑO,399,LA UNION,LA UNION,CM,52399,ZONA08,DACLI,DACLIZONA08,12646.156,1002
248730051.773,71451.1703635,1008,41,52,NARIÑO,687,SAN LORENZO,SAN LORENZO,CM,52687,ZONA06,DACLI,DACLIZONA06,24873.005,1003
1226071036.99,165742.475412,1009,1007,94,GUAINIA,885,LA GUADALUPE,LA GUADALUPE,CD,94885,ZONA16,DABOG,DABOGZONA16,122607.104,1004
13523411877.9,604266.1199920001,1010,836,97,VAUPES,001,MITU,MITU,CM,97001,ZONA16,DABOG,DABOGZONA16,1352341.188,1005
319129694.027,75307.4078632,1011,36,52,NARIÑO,378,LA CRUZ,LA CRUZ,CM,52378,ZONA08,DACLI,DACLIZONA08,31912.969,1006
27007904.3852,27588.6202766,1012,37,52,NARIÑO,083,BELEN,BELEN,CM,52083,ZONA08,DACLI,DACLIZONA08,2700.79,1007
223525957.947,65289.7093756,1013,827,18,CAQUETA,479,MORELIA,MORELIA,CM,18479,ZONA15,DABOG,DABOGZONA15,22352.596,1008
184758391.015,81193.8831045,1014,1036,52,NARIÑO,385,LA LLANADA,LA LLANADA,CM,52385,ZONA07,DACLI,DACLIZONA07,18475.839,1009
47835525.8184,30364.1146051,1015,40,52,NARIÑO,694,SAN PEDRO DE CARTAGO,SAN PEDRO DE CARTAGO,CM,52694,ZONA08,DACLI,DACLIZONA08,4783.553,1010
51086686.8199,38034.5088832,1016,1020,52,NARIÑO,685,SAN BERNARDO,SAN BERNARDO,CM,52685,ZONA08,DACLI,DACLIZONA08,5108.669,1011
72190181.4701,55729.6328973,1017,35,52,NARIÑO,019,ALBAN,SAN JOSE,CM,52019,ZONA08,DACLI,DACLIZONA08,7219.018,1012
68134066.9905,37756.6484415,1018,1037,52,NARIÑO,051,ARBOLEDA,BERRUECOS,CM,52051,ZONA08,DACLI,DACLIZONA08,6813.407,1013
428687134.3,117780.968062,1019,27,52,NARIÑO,678,SAMANIEGO,SAMANIEGO,CM,52678,ZONA06,DACLI,DACLIZONA06,42868.713,1014
1231966294.08,226433.989748,1020,1066,19,CAUCA,533,PIAMONTE,PIAMONTE,CM,19533,ZONA08,DACLI,DACLIZONA08,123196.629,1015
165877326.518,66174.12504129999,1021,31,52,NARIÑO,260,EL TAMBO,EL TAMBO,CM,52260,ZONA06,DACLI,DACLIZONA06,16587.733,1016
837128231.072,128311.657501,1022,829,18,CAQUETA,610,SAN JOSE DEL FRAGUA,SAN JOSE DEL FRAGUA,CM,18610,ZONA15,DABOG,DABOGZONA15,83712.823,1017
83718576.9007,44715.8323876,1023,1018,52,NARIÑO,240,CHACHAGUI,CHACHAGUI,CM,52240,ZONA07,DACLI,DACLIZONA07,8371.858,1018
703508377.2410001,108907.838757,1024,34,52,NARIÑO,258,EL TABLON,EL TABLON,CM,52258,ZONA08,DACLI,DACLIZONA08,70350.838,1019
94918944.7992,48824.9601731,1025,30,52,NARIÑO,411,LINARES,LINARES,CM,52411,ZONA06,DACLI,DACLIZONA06,9491.894,1020
2436969631.78,249740.5552,1026,1,52,NARIÑO,612,RICAURTE,RICAURTE,CM,52612,ZONA06,DACLI,DACLIZONA06,243696.963,1021
528188276.059,95001.22250430001,1027,33,52,NARIÑO,110,BUESACO,BUESACO,CM,52110,ZONA08,DACLI,DACLIZONA08,52818.828,1022
